a,b,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
GS25(관악한일),서울 관악구 남현동  602-11 한일빌딩 1층,서울 관악구 남현동  602-11 한일빌딩 1층,126.9813425,37.4739844,정좌표,1.16201E+18,구주소,서울특별시 관악구 승방2길 2,서울특별시 관악구 남현동 602-11,8807,1162063000,남현동,1162010300,남현동
하나편의점,인천 남동구 구월로 281 세븐일레븐편의점내,인천 남동구 구월로 281 세븐일레븐편의점내,126.7219758,37.4559299,정좌표,2.82001E+18,새주소,인천광역시 남동구 구월로 281,인천광역시 남동구 만수동 906-2,21542,2820058200,만수5동,2820010300,만수동
C-Space 신림녹두,서울 관악구 신림9동  240-3  밀라트빌딩,서울 관악구 신림9동  240-3  밀라트빌딩,126.9385929,37.4702292,정좌표,1.16201E+18,구주소,서울특별시 관악구 신림로 97,서울특별시 관악구 신림동 240-3,8814,1162073500,대학동,1162010200,신림동
미니스톱기장점,부산 기장군 차성동로 69,부산 기장군 차성동로 69,129.2165161,35.2438851,정좌표,2.67103E+18,새주소,부산광역시 기장군 기장읍 차성동로 69,부산광역시 기장군 기장읍 동부리 162-20,46066,2671025000,기장읍,2671025021,기장읍 동부리
한미복권방,서울 강동구 성내1동  550,서울 강동구 성내1동  550,127.1237934,37.529136,정좌표,1.17401E+18,구주소,서울특별시 강동구 성내로 32,서울특별시 강동구 성내동 550,5399,1174064000,성내1동,1174010800,성내동
가로판매(버스카드),서울 영등포구 여의나루로 42 가로판매점(여의도동),서울 영등포구 여의나루로 42 가로판매점(여의도동),126.9249709,37.5214745,정좌표,1.15601E+18,새주소,서울특별시 영등포구 여의나루로 42,서울특별시 영등포구 여의도동 35-5,7328,1156054000,여의동,1156011000,여의도동
태흥금방,경기 의정부시 의정로 118,경기 의정부시 의정로 118,127.0351743,37.7435662,정좌표,4.11501E+18,새주소,경기도 의정부시 의정로 118,경기도 의정부시 가능동 738-34,11667,4115061500,흥선동,4115011000,가능동
라스정보통신,서울 강북구 수유동  256-22  미니스톱내,서울 강북구 수유동  256-22  미니스톱내,127.0199953,37.6451576,정좌표,1.13051E+18,구주소,서울특별시 강북구 한천로 1120,서울특별시 강북구 수유동 256-22,1047,1130562500,수유2동,1130510300,수유동
대박예감,경기 화성시 영통로 36 1층,경기 화성시 영통로 36 1층,127.0639866,37.2339731,정좌표,4.15901E+18,새주소,경기도 화성시 영통로 36,경기도 화성시 반월동 64-3,18379,4159055000,반월동,4159012000,반월동
GS25(천안성정),충남 천안시 성정동  193-17번지,충남 천안시 성정동  193-17번지,127.1415763,36.8126525,정좌표,4.41331E+18,구주소,충청남도 천안시 서북구 봉정로 120-2,충청남도 천안시 서북구 성정동 193-17,31145,4413351000,성정1동,4413310200,성정동
로또 코리아북삼점,경북 칠곡군 북삼읍 인평리 인평리 1094-1,경북 칠곡군 북삼읍 인평리 인평리 1094-1,128.3385404,36.0684195,법정동 좌표,47850,판별불가,,경상북도 칠곡군 북삼읍 인평리,NULL,4785025300,북삼읍,4785025325,북삼읍 인평리
자양사거리 가로매점,서울 광진구 자양로 95,서울 광진구 자양로 95,127.0832139,37.5362255,정좌표,1.12151E+18,새주소,서울특별시 광진구 자양로 95,서울특별시 광진구 자양동 219-2,5055,1121582000,자양1동,1121510500,자양동
일공공일 안경콘택트,경북 구미시 구미중앙로5길 2,경북 구미시 구미중앙로5길 2,128.3282735,36.1303128,정좌표,4.71901E+18,새주소,경상북도 구미시 구미중앙로5길 2,경상북도 구미시 원평동 109-20,39221,4719053500,원평동,4719010100,원평동
영덕로또복권,경북 영덕군 덕곡길 128,경북 영덕군 덕곡길 128,129.3656757,36.4129099,정좌표,4.77703E+18,새주소,경상북도 영덕군 영덕읍 덕곡길 128,경상북도 영덕군 영덕읍 남석리 216-5,36433,4777025000,영덕읍,4777025023,영덕읍 남석리
사랑의 꽃집,경북 영주시 하망동  247-9,경북 영주시 하망동  247-9,128.6344032,36.8301625,정좌표,4.72101E+18,구주소,경상북도 영주시 원당로223번길 13,경상북도 영주시 하망동 247-9,36069,4721052500,하망동,4721010300,하망동
GS25(창원서광),경남 창원시 중앙동  1004 서광오피스텔,경남 창원시 중앙동  1004 서광오피스텔,128.6648631,35.2258001,인근좌표,48123,구주소,,경상남도 창원시 성산구 중앙동 1004,NULL,4812352000,중앙동,4812312500,중앙동
제일통신,서울 노원구 중계동  591 대호프라자 1층106,서울 노원구 중계동  591 대호프라자 1층106,127.0732529,37.6597883,정좌표,1.13501E+18,구주소,서울특별시 노원구 한글비석로 384,서울특별시 노원구 중계동 591,1662,1135062400,중계4동,1135010600,중계동
서울수퍼,서울 중랑구 동일로 809-1,서울 중랑구 동일로 809-1,127.0789785,37.6027076,정좌표,1.12601E+18,새주소,서울특별시 중랑구 동일로 809-1,서울특별시 중랑구 중화동 305-17,2017,1126061000,중화2동,1126010300,중화동
복권방(천하명당),서울 성동구 행당로 75 행당동대림아파트 리빙프라자동 지하2층 비202,서울 성동구 행당로 75 행당동대림아파트 리빙프라자동 지하2층 비202,127.0285331,37.5594137,(무료버전 위치정밀도 제한)정좌표,11200,새주소,서울특별시 성동구 행당로 75,서울특별시 성동구,NULL,,,,
훼미리마트월영마을점,경남 창원시 마산합포구 월영남로 21,경남 창원시 마산합포구 월영남로 21,128.5586515,35.1769121,정좌표,4.81252E+18,새주소,경상남도 창원시 마산합포구 월영남로 21,경상남도 창원시 마산합포구 해운동 18-29,51752,4812553000,월영동,4812515800,해운동
선마트로또점,대구 달서구 월성동  275-2    105,대구 달서구 월성동  275-2    105,128.5331532,35.8315962,정좌표,2.72901E+18,구주소,대구광역시 달서구 월성로 20,대구광역시 달서구 월성동 275-2,42728,2729060200,월성2동,2729012000,월성동
Yes할인마트,서울 강남구 개포로 202 1층 이마트 24,서울 강남구 개포로 202 1층 이마트 24,127.0449848,37.4781743,정좌표,1.16801E+18,새주소,서울특별시 강남구 개포로 202,서울특별시 강남구 개포동 1238,6307,1168069000,개포4동,1168010300,개포동
대창,서울 강동구 상암로 211 1층,서울 강동구 상암로 211 1층,127.1461652,37.5466451,정좌표,1.17401E+18,새주소,서울특별시 강동구 상암로 211,서울특별시 강동구 명일동 341-5,5294,1174053000,명일1동,1174010100,명일동
승리 로또당리점,부산 사하구 당리동  324-19,부산 사하구 당리동  324-19,128.9765129,35.1018819,정좌표,2.63801E+18,구주소,부산광역시 사하구 다대로 6,부산광역시 사하구 당리동 324-19,49411,2638055000,당리동,2638010200,당리동
에스에프마트,울산 북구 동대17길 2,울산 북구 동대17길 2,129.3515849,35.6302968,정좌표,3.12001E+18,새주소,울산광역시 북구 동대17길 2,울산광역시 북구 호계동 257-2,44227,3120051000,농소1동,3120010200,호계동
삼성로또복권방슈퍼,전북 남원시 네마실1길 10-5,전북 남원시 네마실1길 10-5,127.3865906,35.4169247,정좌표,5.21901E+18,새주소,전북특별자치도 남원시 네마실1길 10-5,전북특별자치도 남원시 향교동 136-4,55731,5219057000,향교동,5219011100,향교동
불광가판점,서울 은평구 불광1동  281-175,서울 은평구 불광1동  281-175,126.930813,37.6098378,정좌표,1.13801E+18,구주소,서울특별시 은평구 통일로 716,서울특별시 은평구 불광동 281-175,3368,1138052000,불광1동,1138010300,불광동
가로공원충전소,서울 양천구 신월1동  146-1,서울 양천구 신월1동  146-1,126.8289536,37.5356808,정좌표,1.14701E+18,구주소,서울특별시 양천구 남부순환로 353,서울특별시 양천구 신월동 146-1,7920,1147056000,신월1동,1147010300,신월동
플러스 복권,대전 서구 대덕대로168번길 82 편의점 내,대전 서구 대덕대로168번길 82 편의점 내,127.3787472,36.3449404,정좌표,3.01701E+18,새주소,대전광역시 서구 대덕대로168번길 82,대전광역시 서구 갈마동 1448,35265,3017058200,갈마2동,3017011100,갈마동
풍년로또,인천 남동구 구월4동  1265-10,인천 남동구 구월4동  1265-10,126.719302,37.4529906,정좌표,2.82001E+18,구주소,인천광역시 남동구 호구포로 792,인천광역시 남동구 구월동 1265-10,21534,2820052200,구월4동,2820010100,구월동
로또명당점,대전 서구 관저로129번길 3,대전 서구 관저로129번길 3,127.3361228,36.2991172,정좌표,3.01701E+18,새주소,대전광역시 서구 관저로129번길 3,대전광역시 서구 관저동 1089,35378,3017059700,관저2동,3017011600,관저동
로또명당매화점,충북 옥천군 옥천읍 매화리 매화리 36-6,충북 옥천군 옥천읍 매화리 매화리 36-6,127.59585,36.3023952,법정동 좌표,43730,판별불가,,충청북도 옥천군 옥천읍 매화리,NULL,4373025000,옥천읍,4373025028,옥천읍 매화리
GS25(마산상남),경남 마산시 상남동  230-25,경남 마산시 상남동  230-25,128.6835628,35.2169523,인근좌표,48123,구주소,,경상남도 창원시 성산구 상남동 230-25,NULL,4812353000,상남동,4812312700,상남동
행운의 집,서울 강동구 구천면로 220,서울 강동구 구천면로 220,127.1292275,37.5405204,정좌표,1.17401E+18,새주소,서울특별시 강동구 구천면로 220,서울특별시 강동구 천호동 549-1,5334,1174062000,천호3동,1174010900,천호동
담배 소매점,서울 용산구 용문동  32-111 (6/4),서울 용산구 용문동  32-111 (6/4),126.9593015,37.5380008,정좌표,1.11701E+18,구주소,서울특별시 용산구 새창로14길 33,서울특별시 용산구 용문동 32-111,4356,1117059000,용문동,1117012100,용문동
흥부네대박났네,경기 광주시 경충대로 763,경기 광주시 경충대로 763,127.2528821,37.4034861,도로중심좌표,41610,새주소,경기도 광주시 경충대로 763,경기도 광주시,NULL,,,,
상동매표,경기 부천시 원미구 상동 상동 412,경기 부천시 원미구 상동 상동 412,126.7608124,37.4948987,법정동 좌표,41192,판별불가,,경기도 부천시 원미구 상동,NULL,4119267000,상동,4119210900,상동
하이마트,인천 서구 심곡동  333-7,인천 서구 심곡동  333-7,126.6723499,37.5445027,정좌표,2.82601E+18,구주소,인천광역시 서구 승학로 245,인천광역시 서구 심곡동 333-7,22724,2826053000,연희동,2826010700,심곡동
대박나라 베팅숍,경기 부천시 성주로 84,경기 부천시 성주로 84,126.7654655,37.4794587,정좌표,4119,새주소,경기도 부천시 성주로 84,경기도 부천시,NULL,,,,
현대보석,전북 전주시 덕진구 시천로 96-14,전북 전주시 덕진구 시천로 96-14,127.1161569,35.8671944,정좌표,5.21131E+18,새주소,전북특별자치도 전주시 덕진구 시천로 96-14,전북특별자치도 전주시 덕진구 송천동2가 587-5,54827,5211364200,송천2동,5211312200,송천동2가
훼미리마트(포항제일),경북 포항시 북구 죽도동 죽도동 618-2,경북 포항시 북구 죽도동 죽도동 618-2,129.363271,36.0311434,법정동 좌표,47113,판별불가,,경상북도 포항시 북구 죽도동,NULL,4711365500,죽도동,4711311600,죽도동
토토와로또 복권방,충남 서산시 동문동  288-10,충남 서산시 동문동  288-10,126.4583839,36.7811131,정좌표,4.42101E+18,구주소,충청남도 서산시 시장4길 34,충청남도 서산시 동문동 288-10,31981,4421053500,동문2동,4421010200,동문동
성원식품,서울 서초구 서초3동  1451-2 성원빌딩 102,서울 서초구 서초3동  1451-2 성원빌딩 102,127.0121871,37.4832028,정좌표,1.16501E+18,구주소,서울특별시 서초구 반포대로 30,서울특별시 서초구 서초동 1451-2,6716,1165053000,서초3동,1165010800,서초동
㈜ Cspace 다대제일점,부산 사하구 다대동  820-12  4/5,부산 사하구 다대동  820-12  4/5,128.9715876,35.0565176,정좌표,2.63801E+18,구주소,부산광역시 사하구 다대동로 31,부산광역시 사하구 다대동 820-12,49524,2638060100,다대1동,2638010600,다대동
대승복권,부산 해운대구 좌동  1484-1 대승플라자빌딩 101,부산 해운대구 좌동  1484-1 대승플라자빌딩 101,129.1782747,35.1689723,정좌표,2.63501E+18,구주소,부산광역시 해운대구 세실로 45,부산광역시 해운대구 좌동 1484-1,48111,2635055200,좌2동,2635010700,좌동
로또잭팟,서울 관악구 신림동  727-5,서울 관악구 신림동  727-5,126.9164088,37.4744069,정좌표,1.16201E+18,구주소,서울특별시 관악구 미성3길 1,서울특별시 관악구 신림동 727-5,8864,1162069500,신림동,1162010200,신림동
신수칼라,서울 마포구 신수동  339-3,서울 마포구 신수동  339-3,126.9340957,37.5472278,정좌표,1.14401E+18,구주소,서울특별시 마포구 독막로 184-1,서울특별시 마포구 신수동 339-3,4087,1144063000,신수동,1144011100,신수동
GS25(양재공원),서울 서초구 양재동  321-2,서울 서초구 양재동  321-2,127.0413677,37.4710266,정좌표,1.16501E+18,구주소,서울특별시 서초구 강남대로12길 49,서울특별시 서초구 양재동 321-2,6779,1165065200,양재2동,1165010200,양재동
조이풀이삭토스트,부산 동래구 중앙대로 1520 북쪽출구 빵집,부산 동래구 중앙대로 1520 북쪽출구 빵집,129.086398,35.2202723,정좌표,2.62601E+18,새주소,부산광역시 동래구 중앙대로 1520,부산광역시 동래구 온천동 1750-1,47710,2626055000,온천1동,2626010800,온천동
㈜ Cspace 중앙제일점,부산 중구 동광동3가  17-2,부산 중구 동광동3가  17-2,129.0347674,35.1011463,정좌표,2.61101E+18,구주소,부산광역시 중구 중앙대로41번길 14-1,부산광역시 중구 동광동3가 17-2,48955,2611052000,동광동,2611011300,동광동3가
신봤다대박복권방,경기 안산시 상록구 본오동 본오동 882-2  1층 우측상가,경기 안산시 상록구 본오동 본오동 882-2  1층 우측상가,126.8645993,37.2891861,법정동 좌표,41271,판별불가,,경기도 안산시 상록구 본오동,NULL,,,4127110400,본오동
훼미리마트(구미사곡),경북 구미시 사곡동  481-7,경북 구미시 사곡동  481-7,128.3587017,36.0980044,정좌표,4.71901E+18,구주소,경상북도 구미시 상사동로 149-4,경상북도 구미시 사곡동 481-7,39330,4719064500,상모사곡동,4719011500,사곡동
찬스센타 백운점,인천 부평구 신촌로7번길 3,인천 부평구 신촌로7번길 3,126.7087524,37.4848083,정좌표,2.82371E+18,새주소,인천광역시 부평구 신촌로7번길 3,인천광역시 부평구 십정동 173-10,21405,2823753000,부평3동,2823710200,십정동
k마트,경북 포항시 북구 득량동 득량동 170-1,경북 포항시 북구 득량동 득량동 170-1,129.3378518,36.0383692,법정동 좌표,47113,판별불가,,경상북도 포항시 북구 득량동,NULL,,,4711311400,득량동
세계주류백화점,서울 성동구 금호동4가  614번지,서울 성동구 금호동4가  614번지,127.0204176,37.5473177,정좌표,1.12001E+18,구주소,서울특별시 성동구 독서당로 280,서울특별시 성동구 금호동4가 614,4737,1120062000,금호4가동,1120011200,금호동4가
도로가판집,서울 용산구 한강로3가  40-592,서울 용산구 한강로3가  40-592,126.9644248,37.5259088,정좌표,1.11701E+18,구주소,서울특별시 용산구 한강대로 55,서울특별시 용산구 한강로3가 40-592,4379,1117062500,한강로동,1117012800,한강로3가
정원상회,부산 남구 대연2동  1757-2,부산 남구 대연2동  1757-2,129.087868,35.1344386,정좌표,2.62901E+18,구주소,부산광역시 남구 수영로196번길 8,부산광역시 남구 대연동 1757-2,48492,2629051000,대연1동,2629010600,대연동
훼미리마트(일산동문),경기 고양시 일산서구 일산동 일산동 957-3,경기 고양시 일산서구 일산동 일산동 957-3,126.7685614,37.6871394,법정동 좌표,41287,판별불가,,경기도 고양시 일산서구 일산동,NULL,,,4128710100,일산동
대성식품,경기 수원시 팔달구 교동 교동 90-7,경기 수원시 팔달구 교동 교동 90-7,127.0130643,37.2733246,법정동 좌표,41115,판별불가,,경기도 수원시 팔달구 교동,NULL,,,4111513200,교동
한아름알뜰매장,경기 안산시 단원구 화정천서로5길 38,경기 안산시 단원구 화정천서로5길 38,126.8166022,37.3452665,정좌표,4.12731E+18,새주소,경기도 안산시 단원구 화정천서로5길 38,경기도 안산시 단원구 선부동 1097-11,15215,4127360000,선부3동,4127310900,선부동
동부매점,강원 강릉시 홍제동  992-2 고속버스터미널 동부매점,강원 강릉시 홍제동  992-2 고속버스터미널 동부매점,128.8801756,37.7545453,정좌표,5.11501E+18,구주소,강원특별자치도 강릉시 하슬라로 15,강원특별자치도 강릉시 홍제동 992-2,25519,5115051000,홍제동,5115010100,홍제동
경남마트,서울 구로구 고척로52길 21 경남상가201호,서울 구로구 고척로52길 21 경남상가201호,126.8568479,37.5043098,정좌표,1.15301E+18,새주소,서울특별시 구로구 고척로52길 21,서울특별시 구로구 고척동 306,8228,1153073000,고척2동,1153010600,고척동
라이프25복권,인천 부평구 산곡동  181-69 외1필지 1층,인천 부평구 산곡동  181-69 외1필지 1층,126.7028373,37.5045119,정좌표,2.82371E+18,구주소,인천광역시 부평구 마장로 295,인천광역시 부평구 산곡동 181-69,21369,2823757000,산곡1동,2823710300,산곡동
터미널 편의점 1층,경기 수원시 권선구 권선동 권선동 1189 수원복합터미널 1301,경기 수원시 권선구 권선동 권선동 1189 수원복합터미널 1301,127.0245981,37.2576692,법정동 좌표,41113,판별불가,,경기도 수원시 권선구 권선동,NULL,,,4111313700,권선동
훼미리마트(수유대로),서울 강북구 수유동  724-3,서울 강북구 수유동  724-3,127.0244255,37.6460593,정좌표,1.13051E+18,구주소,서울특별시 강북구 노해로 121,서울특별시 강북구 수유동 724-3,1050,1130562500,수유2동,1130510300,수유동
동래중고악기수리,부산 동래구 명륜로 163 중고악기1층,부산 동래구 명륜로 163 중고악기1층,129.0820563,35.2084671,정좌표,2.62601E+18,새주소,부산광역시 동래구 명륜로 163,부산광역시 동래구 명륜동 638-19,47743,2626054500,명륜동,2626010700,명륜동
덕하복권명당,울산 울주군 덕하로 238,울산 울주군 덕하로 238,129.3052253,35.4919534,정좌표,3.17103E+18,새주소,울산광역시 울주군 청량읍 덕하로 238,울산광역시 울주군 청량읍 상남리 582-5,44984,3171026200,청량읍,3171026223,청량읍 상남리
노다지 복권방,서울 도봉구 도봉동  623-1,서울 도봉구 도봉동  623-1,127.0447539,37.6726348,정좌표,1.13201E+18,구주소,서울특별시 도봉구 도봉로156길 8,서울특별시 도봉구 도봉동 623-1,1328,1132052200,도봉2동,1132010800,도봉동
풍전수퍼,경기 부천시 조마루로 428,경기 부천시 조마루로 428,126.791163,37.4970873,정좌표,4119,새주소,경기도 부천시 원미동 조마루로 428,경기도 부천시 원미동,14567,4119254000,원미1동,,원미동
엠에스 슈퍼,경기 안산시 단원구 와동 와동 713-2,경기 안산시 단원구 와동 와동 713-2,126.825755,37.3416544,법정동 좌표,41273,판별불가,,경기도 안산시 단원구 와동,NULL,4127351000,와동,4127310200,와동
대원로또판매점,경북 고령군 고령읍 지산리 지산리 3-1번지,경북 고령군 고령읍 지산리 지산리 3-1번지,128.2660809,35.7273696,정좌표,4.78303E+18,구주소,경상북도 고령군 대가야읍 왕릉로 84,경상북도 고령군 대가야읍 지산리 3-1,40137,4783025300,대가야읍,4783025326,대가야읍 지산리
GS25(명륜중앙),부산 동래구 온천동  473-12,부산 동래구 온천동  473-12,129.0786615,35.2125265,정좌표,2.62601E+18,구주소,부산광역시 동래구 온천장로 1-1,부산광역시 동래구 온천동 473-12,47715,2626055000,온천1동,2626010800,온천동
화북슈퍼,제주 제주시 진남로6길 21,제주 제주시 진남로6길 21,126.5655996,33.520663,정좌표,5.01101E+18,새주소,제주특별자치도 제주시 진남로6길 21,제주특별자치도 제주시 화북일동 1976-5,63292,5011060000,화북동,5011011100,화북일동
컴텔정보통신,서울 도봉구 쌍문2동  49-1호,서울 도봉구 쌍문2동  49-1호,127.0379905,37.6573975,정좌표,1.13201E+18,구주소,서울특별시 도봉구 해등로 168,서울특별시 도봉구 쌍문동 49-1,1394,1132067000,쌍문2동,1132010500,쌍문동
삼월쇼핑,부산 부산진구 가야대로 784 33,부산 부산진구 가야대로 784 33,129.0573969,35.1573331,정좌표,2.62301E+18,새주소,부산광역시 부산진구 가야대로 784,부산광역시 부산진구 부전동 490-23,47285,2623052000,부전2동,2623010300,부전동
웅진코웨이,경기 수원시 팔달구 효원로 257 4층(홈플러스 동수원점),경기 수원시 팔달구 효원로 257 4층(홈플러스 동수원점),127.030113,37.2627606,정좌표,4.11151E+18,새주소,경기도 수원시 팔달구 효원로 257,경기도 수원시 팔달구 인계동 1045,16490,4111573000,인계동,4111514100,인계동
쿨복권방,대구 달서구 대명천로 220 1층,대구 달서구 대명천로 220 1층,128.5361908,35.8422003,정좌표,2.72901E+18,새주소,대구광역시 달서구 대명천로 220,대구광역시 달서구 본리동 2-16,42690,2729059000,본리동,2729011400,본리동
일록로또복권방,경기 수원시 장안구 파장동 파장동 581-4,경기 수원시 장안구 파장동 파장동 581-4,126.9974192,37.3103176,법정동 좌표,41111,판별불가,,경기도 수원시 장안구 파장동,NULL,4111156000,파장동,4111112900,파장동
천하명당 복권방,경남 거제시 옥포성안로 60,경남 거제시 옥포성안로 60,128.694851,34.8917054,정좌표,4.83101E+18,새주소,경상남도 거제시 옥포성안로 60,경상남도 거제시 옥포동 582,53231,4831055000,옥포1동,4831010600,옥포동
성경스튜디오,서울 동대문구 청량리동  678   1층,서울 동대문구 청량리동  678   1층,127.043871,37.5832183,정좌표,1.12301E+18,구주소,서울특별시 동대문구 약령시로 125,서울특별시 동대문구 청량리동 678,2483,1123070500,청량리동,1123010700,청량리동
청계로또,서울 성동구 상왕십리동  12-46호,서울 성동구 상왕십리동  12-46호,127.0258526,37.5705555,정좌표,1.12001E+18,구주소,서울특별시 성동구 청계천로 440,서울특별시 성동구 상왕십리동 12-46,4700,1120053500,왕십리도선동,1120010100,상왕십리동
제일약국,서울 강남구 역삼동  829-15,서울 강남구 역삼동  829-15,127.0335505,37.4942642,정좌표,1.16801E+18,구주소,서울특별시 강남구 역삼로 125,서울특별시 강남구 역삼동 829-15,6244,1168064000,역삼1동,1168010100,역삼동
동진슈퍼,경남 창원시 명서동  200-1 부산상가1층 3호,경남 창원시 명서동  200-1 부산상가1층 3호,128.649219,35.2422275,정좌표,4.81211E+18,구주소,경상남도 창원시 의창구 창이대로113번길 9-1,경상남도 창원시 의창구 명서동 200-1,51388,4812153000,명곡동,4812112400,명서동
1001안경콘텍트,서울 양천구 신월4동  517-4,서울 양천구 신월4동  517-4,126.8423716,37.5218561,정좌표,1.14701E+18,구주소,서울특별시 양천구 오목로 42,서울특별시 양천구 신월동 517-4,8029,1147059000,신월4동,1147010300,신월동
장흥로또,전남 장흥군 장흥읍 건산리 건산리 722-1,전남 장흥군 장흥읍 건산리 건산리 722-1,126.9098691,34.6752075,법정동 좌표,46800,판별불가,,전라남도 장흥군 장흥읍 건산리,NULL,4680025000,장흥읍,4680025037,장흥읍 건산리
하이로또 복권방,경기 안양시 동안구 관악대로339번길 7,경기 안양시 동안구 관악대로339번길 7,126.9601949,37.4042028,정좌표,4.11731E+18,새주소,경기도 안양시 동안구 관악대로339번길 7,경기도 안양시 동안구 관양동 1406-44,13937,4117355200,관양동,4117310200,관양동
훼미리마트 상도점,경북 포항시 남구 문예로 68 우측상가,경북 포항시 남구 문예로 68 우측상가,129.364164,36.0134331,정좌표,4.71111E+18,새주소,경상북도 포항시 남구 문예로 68,경상북도 포항시 남구 대도동 152-26,37827,4711152500,상대동,4711110200,대도동
운천 대박 복권방,경기 포천시 영북로 171-1,경기 포천시 영북로 171-1,127.2745326,38.0895822,정좌표,4.16504E+18,새주소,경기도 포천시 영북면 영북로 171-1,경기도 포천시 영북면 운천리 511-8,11106,4165039000,영북면,4165039021,영북면 운천리
가로매로또,서울 관악구 신림동  1640-5,서울 관악구 신림동  1640-5,126.9287326,37.4838632,정좌표,1.16201E+18,구주소,서울특별시 관악구 남부순환로 1602,서울특별시 관악구 신림동 1640-5,8776,1162069500,신림동,1162010200,신림동
우선식품,서울 영등포구 도신로 231-2,서울 영등포구 도신로 231-2,126.9167299,37.5124609,정좌표,1.15601E+18,새주소,서울특별시 영등포구 도신로 231-2,서울특별시 영등포구 신길동 163-5,7316,1156051500,영등포본동,1156013200,신길동
아이리스,경기 고양시 일산동구 백석동 백석동 1232 일산병원 지하 1층,경기 고양시 일산동구 백석동 백석동 1232 일산병원 지하 1층,126.7923709,37.6500389,법정동 좌표,41285,판별불가,,경기도 고양시 일산동구 백석동,NULL,,,4128510600,백석동
GS25(익산부송),전북 익산시 부송동  235-7,전북 익산시 부송동  235-7,126.9970165,35.9581626,정좌표,5.21401E+18,구주소,전북특별자치도 익산시 선화로73길 28,전북특별자치도 익산시 부송동 235-7,54559,5214069000,삼성동,5214013400,부송동
신화복권방,서울 강동구 길동  347-61,서울 강동구 길동  347-61,127.1427435,37.5410698,정좌표,1.17401E+18,구주소,서울특별시 강동구 천중로 203,서울특별시 강동구 길동 347-61,5303,1174068500,길동,1174010500,길동
참깨열쇠.복권,전북 전주시 완산구 용리로 43 1층,전북 전주시 완산구 용리로 43 1층,127.1146578,35.7988285,정좌표,5.21111E+18,새주소,전북특별자치도 전주시 완산구 용리로 43,전북특별자치도 전주시 완산구 효자동1가 669-4,55085,5211171300,효자3동,5211114000,효자동1가
GS25(삼성역),서울 강남구 삼성동  168번지,서울 강남구 삼성동  168번지,127.0628853,37.5105393,정좌표,1.16801E+18,구주소,서울특별시 강남구 영동대로 510,서울특별시 강남구 삼성동 168,6173,1168058000,삼성1동,1168010500,삼성동
뉴골드나라,서울 광진구 광나루로 521,서울 광진구 광나루로 521,127.0874503,37.5451337,정좌표,1.12151E+18,새주소,서울특별시 광진구 광나루로 521,서울특별시 광진구 구의동 66-92,4977,1121586000,구의2동,1121510300,구의동
동인마트,대구 중구 태평로 266,대구 중구 태평로 266,128.6063925,35.8723942,정좌표,2.71101E+18,새주소,대구광역시 중구 태평로 266,대구광역시 중구 동인동3가 271-142,41905,2711051700,동인동,2711010300,동인동3가
성광복권방,경기 수원시 팔달구 인계동 인계동 968,경기 수원시 팔달구 인계동 인계동 968,127.0213223,37.2703745,법정동 좌표,41115,판별불가,,경기도 수원시 팔달구 인계동,NULL,4111573000,인계동,4111514100,인계동
진안로또,전북 진안군 진안읍 군상리 군상리 403-102,전북 진안군 진안읍 군상리 군상리 403-102,127.4234075,35.8021657,법정동 좌표,52720,판별불가,,전북특별자치도 진안군 진안읍 군상리,NULL,5272025000,진안읍,5272025021,진안읍 군상리
GS25(서귀중문),제주 서귀포시 중문동  1964-4,제주 서귀포시 중문동  1964-4,126.4269539,33.2514757,정좌표,5.01301E+18,구주소,제주특별자치도 서귀포시 천제연로 210,제주특별자치도 서귀포시 중문동 1964-4,63546,5013061000,중문동,5013011200,중문동
태극로또전문점,경기 이천시 애련정로 124-2,경기 이천시 애련정로 124-2,127.4502976,37.2814878,정좌표,4.15001E+18,새주소,경기도 이천시 애련정로 124-2,경기도 이천시 창전동 459,17362,4150051000,창전동,4150010100,창전동
늘봄로또복권,충남 서산시 호수공원6로 64 1층,충남 서산시 호수공원6로 64 1층,126.4505089,36.7727566,정좌표,4.42101E+18,새주소,충청남도 서산시 호수공원6로 64,충청남도 서산시 예천동 1280-1,31996,4421055000,석남동,4421010900,예천동
로또주안점,인천 남구 숭의동  408-7,인천 남구 숭의동  408-7,126.6409896,37.4630003,정좌표,2.81771E+18,구주소,인천광역시 미추홀구 인중로 16,인천광역시 미추홀구 숭의동 408-7,22171,2817752000,숭의1.3동,2817710100,숭의동
훼미리마트(원주터미널),강원 원주시 우산동  90-3,강원 원주시 우산동  90-3,127.9393171,37.3669303,정좌표,5.11301E+18,구주소,강원특별자치도 원주시 우산초교길 9,강원특별자치도 원주시 우산동 90-3,26343,5113060000,우산동,5113011100,우산동
천하명당복권방화곡점,서울 강서구 화곡동  836-4,서울 강서구 화곡동  836-4,126.8576802,37.5320697,정좌표,1.15001E+18,구주소,서울특별시 강서구 곰달래로49길 11,서울특별시 강서구 화곡동 836-4,7749,1150055000,화곡2동,1150010300,화곡동
해태24시,서울 양천구 곰달래로 11 1층 2호,서울 양천구 곰달래로 11 1층 2호,126.8339313,37.5299184,정좌표,1.14701E+18,새주소,서울특별시 양천구 곰달래로 11,서울특별시 양천구 신월동 126-35,7921,1147056000,신월1동,1147010300,신월동
