a,b,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
이충복권방,경기 평택시 송탄로 108 1층103호,경기 평택시 송탄로 108 1층103호,127.056021,37.0544638,정좌표,4.12201E+18,새주소,경기도 평택시 송탄로 108,경기도 평택시 이충동 487-40,17782,4122051000,중앙동,4122010900,이충동
종합복권나라,강원 원주시 남원로 619 1층,강원 원주시 남원로 619 1층,127.9514383,37.338524,정좌표,5.11301E+18,새주소,강원특별자치도 원주시 남원로 619,강원특별자치도 원주시 명륜동 261-1,26441,5113054100,명륜1동,5113010600,명륜동
성심상회,경북 포항시 북구 불종로 78,경북 포항시 북구 불종로 78,129.3679967,36.0381462,정좌표,4.71131E+18,새주소,경상북도 포항시 북구 불종로 78,경상북도 포항시 북구 중앙동 41,37738,4711352000,중앙동,4711310600,중앙동
함덕대박복권판매점,제주 제주시 함덕18길 19,제주 제주시 함덕18길 19,126.6702277,33.5394836,정좌표,5.01103E+18,새주소,제주특별자치도 제주시 조천읍 함덕18길 19,제주특별자치도 제주시 조천읍 함덕리 951-1,63333,5011025900,조천읍,5011025924,조천읍 함덕리
영평로또명당,제주 제주시 연신로 280,제주 제주시 연신로 280,126.5618343,33.480851,정좌표,5.01101E+18,새주소,제주특별자치도 제주시 연신로 280,제주특별자치도 제주시 영평동 2432-4,63308,5011063000,아라동,5011013600,영평동
버스표판매소,서울 강남구 논현로 837,서울 강남구 논현로 837,127.0279602,37.5233402,정좌표,1.16801E+18,새주소,서울특별시 강남구 논현로 837,서울특별시 강남구 신사동 584-3,6031,1168051000,신사동,1168010700,신사동
보물섬복권판매점,서울 송파구 법원로8길 7 106호,서울 송파구 법원로8길 7 106호,127.1213787,37.4841914,정좌표,1.17101E+18,새주소,서울특별시 송파구 법원로8길 7,서울특별시 송파구 문정동 651-4,5855,1171064200,문정2동,1171010800,문정동
세진전자통신,대구 서구 서대구로 156,대구 서구 서대구로 156,128.5551943,35.8719027,정좌표,2.71701E+18,새주소,대구광역시 서구 서대구로 156,대구광역시 서구 평리동 1094-4,41777,2717064000,평리3동,2717010300,평리동
타운복권방,광주 북구 밤실로 184-1,광주 북구 밤실로 184-1,126.9341237,35.1637758,정좌표,2.91701E+18,새주소,광주광역시 북구 밤실로 184-1,광주광역시 북구 두암동 289-5,61161,2917066300,두암3동,2917011400,두암동
아이스파티 희망로또,경기 남양주시 청학로114번길 9 나동,경기 남양주시 청학로114번길 9 나동,127.1142974,37.7089483,(무료버전 위치정밀도 제한)정좌표,41360,구주소,,경기도 남양주시 9,NULL,,,,
로또삼성복권방,경기 수원시 영통구 매영로 141 원천훼미리타운105호,경기 수원시 영통구 매영로 141 원천훼미리타운105호,127.0581698,37.2667086,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 매영로 141,경기도 수원시 영통구 원천동 550-1,16519,4111755000,원천동,4111710200,원천동
로터리편의마트,경북 포항시 북구 서동로 85 육거리,경북 포항시 북구 서동로 85 육거리,129.3672426,36.0407414,정좌표,4.71131E+18,새주소,경상북도 포항시 북구 서동로 85,경상북도 포항시 북구 덕산동 113-11,37728,4711352000,중앙동,4711310700,덕산동
